ensembl_id,gene_symbol
ENSG00000188290,HES4
ENSG00000187608,ISG15
ENSG00000186891,TNFRSF18
ENSG00000186827,TNFRSF4
ENSG00000142583,SLC2A5
ENSG00000162444,RBP7
ENSG00000028137,TNFRSF1B
ENSG00000224459,SLC25A34-AS1
ENSG00000158825,CDA
ENSG00000173372,C1QA
ENSG00000159189,C1QC
ENSG00000173369,C1QB
ENSG00000204219,TCEA3
ENSG00000117318,ID3
ENSG00000020633,RUNX3
ENSG00000117632,STMN1
ENSG00000198830,HMGN2
ENSG00000000938,FGR
ENSG00000126709,IFI6
ENSG00000092853,CLSPN
ENSG00000119535,CSF3R
ENSG00000134690,CDCA8
ENSG00000179862,CITED4
ENSG00000117399,CDC20
ENSG00000198520,ARMH1
ENSG00000117450,PRDX1
ENSG00000229846,
ENSG00000177606,JUN
ENSG00000172380,GNG12
ENSG00000024526,DEPDC1
ENSG00000172260,NEGR1
ENSG00000273338,
ENSG00000137959,IFI44L
ENSG00000162618,ADGRL4
ENSG00000234184,LINC01781
ENSG00000142871,CCN1
ENSG00000143013,LMO4
ENSG00000117228,GBP1
ENSG00000154451,GBP5
ENSG00000226835,ARHGAP29-AS1
ENSG00000117600,PLPPR4
ENSG00000099260,PALMD
ENSG00000162692,VCAM1
ENSG00000060718,COL11A1
ENSG00000184371,CSF1
ENSG00000143110,C1orf162
ENSG00000228035,NGF-AS1
ENSG00000116824,CD2
ENSG00000150337,FCGR1A
ENSG00000143384,MCL1
ENSG00000163131,CTSS
ENSG00000213171,LINGO4
ENSG00000143365,RORC
ENSG00000197747,S100A10
ENSG00000163191,S100A11
ENSG00000186207,LCE5A
ENSG00000163220,S100A9
ENSG00000163221,S100A12
ENSG00000143546,S100A8
ENSG00000197956,S100A6
ENSG00000196154,S100A4
ENSG00000188643,S100A16
ENSG00000173207,CKS1B
ENSG00000160789,LMNA
ENSG00000143297,FCRL5
ENSG00000163518,FCRL4
ENSG00000160856,FCRL3
ENSG00000132704,FCRL2
ENSG00000073754,CD5L
ENSG00000158481,CD1C
ENSG00000158485,CD1B
ENSG00000158488,CD1E
ENSG00000163563,MNDA
ENSG00000163568,AIM2
ENSG00000213088,ACKR1
ENSG00000179639,FCER1A
ENSG00000181036,FCRL6
ENSG00000117091,CD48
ENSG00000026751,SLAMF7
ENSG00000179914,ITLN1
ENSG00000158869,FCER1G
ENSG00000143226,FCGR2A
ENSG00000203747,FCGR3A
ENSG00000162747,FCGR3B
ENSG00000198574,SH2D1B
ENSG00000143228,NUF2
ENSG00000198821,CD247
ENSG00000143185,XCL2
ENSG00000143184,XCL1
ENSG00000007908,SELE
ENSG00000116191,RALGPS2
ENSG00000135821,GLUL
ENSG00000116701,NCF2
ENSG00000073756,PTGS2
ENSG00000150681,RGS18
